datetime,portfolio_value,cash,positions,return
2022-01-26 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-01-27 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-27 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-27 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-01-28 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-28 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-28 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-01-31 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-31 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-31 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-31 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-01-31 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-01 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-01 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-01 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-02 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-02 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-02 21:29:00-05:00,100000.0,100000.0,[],0.0
2022-02-03 08:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-03 21:30:00-05:00,100000.0,100000.0,[],0.0
2022-02-03 21:29:00-05:00,100000.0,100000.0,[],0.0
