datetime,portfolio_value,cash,positions,return
2025-01-02 08:30:00-05:00,100000.0,100000.0,[],
2025-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-04 09:30:00-05:00,50059.947509765625,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.49940052490234377
2025-01-04 09:29:00-05:00,50059.947509765625,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-06 08:30:00-05:00,49317.04833984375,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.014840190748840687
2025-01-06 09:30:00-05:00,49317.04833984375,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-06 09:30:00-05:00,49317.04833984375,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-07 09:30:00-05:00,49219.30145263672,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.0019820100857103062
2025-01-08 09:30:00-05:00,49960.498962402344,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.01505908226834296
2025-01-09 09:30:00-05:00,49960.498962402344,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-09 09:29:00-05:00,49960.498962402344,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-10 08:30:00-05:00,50200.19958496094,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.004797802814959562
2025-01-10 09:30:00-05:00,50200.19958496094,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-10 09:30:00-05:00,50200.19958496094,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-11 09:30:00-05:00,50200.19958496094,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-11 09:29:00-05:00,50200.19958496094,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-13 08:30:00-05:00,51059.54833984375,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.01711843303388494
2025-01-13 09:30:00-05:00,51059.54833984375,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-13 09:30:00-05:00,51059.54833984375,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",0.0
2025-01-14 09:30:00-05:00,50329.40124511719,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.014299912914756407
2025-01-15 09:30:00-05:00,49821.94854736328,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.010082629341892635
2025-01-16 09:30:00-05:00,49495.55145263672,100000.0,"[{'asset': SPY, 'quantity': -85.0}]",-0.006551271161469585
2025-01-17 09:30:00-05:00,-886.2437133789062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",-1.0179055225645273
2025-01-18 09:30:00-05:00,-886.2437133789062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-18 09:29:00-05:00,-886.2437133789062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-21 08:30:00-05:00,-1513.2271118164062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.7074616033630903
2025-01-21 09:30:00-05:00,-1513.2271118164062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-21 09:30:00-05:00,-1513.2271118164062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-22 09:30:00-05:00,-2400.4771118164062,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.5863297009891575
2025-01-23 09:30:00-05:00,-2380.1979370117188,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",-0.008447976739650143
2025-01-24 09:30:00-05:00,-3057.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.2847207116066366
2025-01-25 09:30:00-05:00,-3057.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-25 09:29:00-05:00,-3057.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-27 08:30:00-05:00,-522.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",-0.8290031171967412
2025-01-27 09:30:00-05:00,-522.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-27 09:30:00-05:00,-522.8895874023438,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",0.0
2025-01-28 09:30:00-05:00,-1504.7791748046875,100000.0,"[{'asset': SPY, 'quantity': -169.0}]",1.877814381962089
2025-01-29 09:30:00-05:00,-52137.4326171875,100000.0,"[{'asset': SPY, 'quantity': -252.0}]",33.64789617649691
2025-01-30 09:30:00-05:00,-102326.60736083984,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.9626322629301678
2025-01-31 09:30:00-05:00,-103512.5,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.01158928913746049
2025-02-01 09:30:00-05:00,-103512.5,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-01 09:29:00-05:00,-103512.5,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-03 08:30:00-05:00,-98544.44427490234,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",-0.047994741940322716
2025-02-03 09:30:00-05:00,-98544.44427490234,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-03 09:30:00-05:00,-98544.44427490234,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-04 09:30:00-05:00,-100273.05572509766,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.017541439935194303
2025-02-05 09:30:00-05:00,-101214.40490722656,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.009387857738270666
2025-02-06 09:30:00-05:00,-103006.64672851562,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.017707378934172846
2025-02-07 09:30:00-05:00,-103308.15490722656,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.002927074982894906
2025-02-08 09:30:00-05:00,-103308.15490722656,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-08 09:29:00-05:00,-103308.15490722656,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-10 08:30:00-05:00,-102350.05981445312,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",-0.009274147753716377
2025-02-10 09:30:00-05:00,-102350.05981445312,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-10 09:30:00-05:00,-102350.05981445312,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",0.0
2025-02-11 09:30:00-05:00,-101854.24591064453,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",-0.004844295203221494
2025-02-12 09:30:00-05:00,-100732.00408935547,100000.0,"[{'asset': SPY, 'quantity': -335.0}]",-0.0110181152612292
2025-02-13 09:30:00-05:00,-50560.16571044922,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",-0.498072472919339
2025-02-14 09:30:00-05:00,-50106.98388671875,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",-0.008963218718976873
2025-02-15 09:30:00-05:00,-50106.98388671875,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-15 09:29:00-05:00,-50106.98388671875,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-18 08:30:00-05:00,-50028.96368408203,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",-0.0015570724195475005
2025-02-18 09:30:00-05:00,-50028.96368408203,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-18 09:30:00-05:00,-50028.96368408203,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-19 09:30:00-05:00,-50095.36267089844,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.001327210917973387
2025-02-20 09:30:00-05:00,-49974.18591308594,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",-0.0024189216596468555
2025-02-21 09:30:00-05:00,-50088.726318359375,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.0022919914187826684
2025-02-22 09:30:00-05:00,-50088.726318359375,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-22 09:29:00-05:00,-50088.726318359375,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-24 08:30:00-05:00,-50764.34246826172,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.013488387498779453
2025-02-24 09:30:00-05:00,-50764.34246826172,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-24 09:30:00-05:00,-50764.34246826172,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.0
2025-02-25 09:30:00-05:00,-51168.55206298828,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.007962470802793886
2025-02-26 09:30:00-05:00,-51269.814697265625,-100732.00408935547,"[{'asset': SPY, 'quantity': 83.0}]",0.00197900136303808
