datetime,portfolio_value,cash,positions,return
2025-03-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-03-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-03-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-03-08 09:29:00-05:00,100000.0,100000.0,[],0.0
2025-03-10 08:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-10 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-10 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-11 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-12 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-13 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-14 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-15 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-15 09:29:00-04:00,100000.0,100000.0,[],0.0
2025-03-17 08:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-17 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-17 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-18 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-19 09:30:00-04:00,100000.0,100000.0,[],0.0
2025-03-20 15:59:00-04:00,100000.0,100000.0,[],0.0
2025-03-20 16:00:00-04:00,100000.0,100000.0,[],0.0
